transaction_time,customer_id,num_items,total_value,num_unique
2000-11-01,00045957  ,1,133,1
2000-11-01,00164252  ,1,89,1
2000-11-01,00217361  ,1,65,1
2000-11-01,00916264  ,2,48,1
2000-11-01,00955188  ,2,48,1
2000-11-01,01327205  ,1,102,1
2000-11-01,01790184  ,1,75,1
2000-11-01,01846225  ,1,28,1
2000-11-01,01846546  ,1,19,1
2000-11-01,02004402  ,1,10,1
2000-11-01,02034638  ,2,38,1
2000-11-01,02116334  ,1,55,1
2000-11-02,00026550  ,1,75,1
2000-11-02,00029421  ,2,17,1
2000-11-02,00048590  ,1,40,1
2000-11-02,00088541  ,3,177,1
2000-11-02,00091343  ,1,159,1
2000-11-02,00161084  ,2,136,1
2000-11-02,00256735  ,1,70,1
2000-11-02,00281799  ,1,89,1
2000-11-02,00308472  ,1,86,1
2000-11-02,00334563  ,1,25,1
2000-11-02,00375917  ,11,49115,2
2000-11-02,00380300  ,1,143,1
2000-11-02,00426282  ,2,38,1
2000-11-02,00445467  ,1,74,1
2000-11-02,00446082  ,2,38,1
2000-11-02,00556446  ,1,89,1
2000-11-02,00593625  ,1,25,1
2000-11-02,00666244  ,1,115,1
2000-11-02,00919937  ,1,135,1
2000-11-02,00934206  ,1,69,1
2000-11-02,00982771  ,1,48,1
2000-11-02,01066401  ,11,24929,2
2000-11-02,01132502  ,5,145,1
2000-11-02,01138207  ,4,112,1
2000-11-02,01151404  ,1,69,1
2000-11-02,01266856  ,1,15,1
2000-11-02,01276725  ,1,19,1
2000-11-02,01440621  ,1,488,1
2000-11-02,01442540  ,2,84,1
2000-11-02,01451115  ,1,51,1
2000-11-02,01482430  ,1,119,1
2000-11-02,01485219  ,2,118,1
2000-11-02,01534535  ,1,45,1
2000-11-02,01550368  ,3,84,1
2000-11-02,01551402  ,3,105,1
2000-11-02,01557107  ,1,19,1
2000-11-02,01569254  ,6,594,1
2000-11-02,01598681  ,1,23,1
2000-11-02,01656435  ,1,89,1
2000-11-02,01656893  ,1,58,1
2000-11-02,01666052  ,1,119,1
2000-11-02,01673678  ,1,85,1
2000-11-02,01685985  ,1,65,1
2000-11-02,01693836  ,1,899,1
2000-11-02,01714319  ,1,170,1
2000-11-02,01730616  ,1,85,1
2000-11-02,01765748  ,1,18,1
2000-11-02,01766998  ,1,21,1
2000-11-02,01769593  ,1,12,1
2000-11-02,01812534  ,37,12233,1
2000-11-02,01824438  ,2,56,1
2000-11-02,01846928  ,1,37,1
2000-11-02,01866995  ,1,59,1
2000-11-02,01878561  ,11,14568,2
2000-11-02,01899771  ,1,38,1
2000-11-02,01969085  ,1,48,1
2000-11-02,01979282  ,31,9628,2
2000-11-02,01998160  ,1,69,1
2000-11-02,02032207  ,1,67,1
2000-11-02,02048710  ,1,96,1
2000-11-02,02066844  ,1,55,1
2000-11-02,02086903  ,1,32,1
2000-11-02,02108803  ,1,32,1
2000-11-02,02109466  ,1,38,1
2000-11-02,02111209  ,11,2946,2
2000-11-02,02112589  ,1,145,1
2000-11-02,02117812  ,1,425,1
2000-11-02,02127453  ,2,58,1
2000-11-02,02137414  ,21,5259,2
2000-11-02,02141244  ,1,65,1
2000-11-02,02145648  ,2,38,1
2000-11-03,00046015  ,1,19,1
2000-11-03,00075367  ,5,125,1
2000-11-03,00095907  ,11,3240,2
2000-11-03,00135801  ,1,19,1
2000-11-03,00136235  ,1,53,1
2000-11-03,00154581  ,1,66,1
2000-11-03,00191715  ,1,75,1
2000-11-03,00312721  ,1,66,1
2000-11-03,00321396  ,1,29,1
2000-11-03,00355643  ,1,27,1
2000-11-03,00368476  ,2,38,1
2000-11-03,00432238  ,21,15024,2
2000-11-03,00495301  ,1,19,1
2000-11-03,00520942  ,1,125,1
2000-11-03,00552509  ,2,98,1
2000-11-03,00664394  ,1,388,1
2000-11-03,00699594  ,1,45,1
2000-11-03,00838023  ,1,24,1
2000-11-03,00891653  ,1,148,1
2000-11-03,00893749  ,2,52,1
2000-11-03,00948852  ,1,75,1
2000-11-03,01051483  ,1,46,1
2000-11-03,01079326  ,1,95,1
2000-11-03,01120042  ,1,39,1
2000-11-03,01157505  ,1,89,1
2000-11-03,01175912  ,1,99,1
2000-11-03,01213881  ,2,118,1
2000-11-03,01234567  ,12,2560,2
2000-11-03,01256154  ,1,32,1
2000-11-03,01294538  ,11,7630,2
2000-11-03,01328066  ,1,8,1
2000-11-03,01407501  ,1,30,1
2000-11-03,01458756  ,1,68,1
2000-11-03,01501186  ,1,945,1
2000-11-03,01512946  ,1,68,1
2000-11-03,01529739  ,1,149,1
2000-11-03,01563153  ,11,2066,2
2000-11-03,01575705  ,1,19,1
2000-11-03,01592719  ,3,327,1
2000-11-03,01621778  ,1,75,1
2000-11-03,01627176  ,1,59,1
2000-11-03,01654189  ,1,21,1
2000-11-03,01660418  ,2,338,1
2000-11-03,01674675  ,1,65,1
2000-11-03,01674989  ,1,21,1
2000-11-03,01685886  ,7,1155,1
2000-11-03,01689983  ,1,135,1
2000-11-03,01704204  ,1,75,1
2000-11-03,01751604  ,8,120,1
2000-11-03,01763836  ,1,199,1
2000-11-03,01827958  ,11,7256,2
2000-11-03,01828764  ,1,175,1
2000-11-03,01846256  ,1,83,1
2000-11-03,01848151  ,1,138,1
2000-11-03,01849332  ,1,128,1
2000-11-03,01873726  ,1,149,1
2000-11-03,01899030  ,1,79,1
2000-11-03,01927634  ,1,58,1
2000-11-03,01932942  ,1,29,1
2000-11-03,01942088  ,1,128,1
2000-11-03,01944006  ,1,82,1
2000-11-03,01968484  ,1,28,1
2000-11-03,01982480  ,1,31,1
2000-11-03,02014524  ,1,86,1
2000-11-03,02016900  ,1,139,1
2000-11-03,02041285  ,1,99,1
2000-11-03,02042145  ,1,59,1
2000-11-03,02056777  ,1,28,1
2000-11-03,02063232  ,1,84,1
2000-11-03,02100906  ,1,31,1
2000-11-03,02141541  ,1,89,1
2000-11-04,00025362  ,1,118,1
2000-11-04,00033770  ,1,38,1
2000-11-04,00074353  ,1,142,1
2000-11-04,00075275  ,1,85,1
2000-11-04,00081412  ,6,510,1
2000-11-04,00082990  ,1,63,1
2000-11-04,00099790  ,1,85,1
2000-11-04,00103350  ,1,73,1
2000-11-04,00118118  ,1,99,1
2000-11-04,00128612  ,1,249,1
2000-11-04,00136174  ,1,214,1
2000-11-04,00168311  ,1,20,1
2000-11-04,00171755  ,1,45,1
2000-11-04,00307482  ,1,21,1
2000-11-04,00380393  ,2,61,1
2000-11-04,00397391  ,1,167,1
2000-11-04,00522151  ,1,72,1
2000-11-04,00528573  ,2,238,1
2000-11-04,00627832  ,1,49,1
2000-11-04,00740203  ,1,89,1
2000-11-04,00917292  ,1,139,1
2000-11-04,00950138  ,1,85,1
2000-11-04,00998659  ,1,30,1
2000-11-04,01026054  ,1,89,1
2000-11-04,01038279  ,1,115,1
2000-11-04,01237214  ,1,22,1
2000-11-04,01294187  ,1,55,1
2000-11-04,01332933  ,1,59,1
2000-11-04,01358315  ,1,280,1
2000-11-04,01381887  ,1,123,1
2000-11-04,01392869  ,1,125,1
2000-11-04,01428612  ,2,136,1
2000-11-04,01459500  ,1,28,1
2000-11-04,01460377  ,2,78,1
2000-11-04,01484519  ,4,276,1
2000-11-04,01540062  ,1,36,1
2000-11-04,01552492  ,1,169,1
2000-11-04,01575927  ,1,25,1
2000-11-04,01600223  ,1,34,1
2000-11-04,01600933  ,3,54,1
2000-11-04,01603453  ,1,29,1
2000-11-04,01621501  ,2,58,1
2000-11-04,01621815  ,1,42,1
2000-11-04,01623840  ,1,139,1
2000-11-04,01632460  ,4,36,1
2000-11-04,01635768  ,1,21,1
2000-11-04,01659740  ,1,38,1
2000-11-04,01688252  ,1,36,1
2000-11-04,01692440  ,1,20,1
2000-11-04,01698916  ,2,32,1
2000-11-04,01701586  ,12,9460,2
2000-11-04,01704693  ,1,209,1
2000-11-04,01707847  ,2,40,1
2000-11-04,01720952  ,1,16,1
2000-11-04,01721270  ,11,45155,2
2000-11-04,01723946  ,1,49,1
2000-11-04,01724752  ,1,44,1
2000-11-04,01727029  ,1,168,1
2000-11-04,01735031  ,1,39,1
2000-11-04,01753240  ,1,43,1
2000-11-04,01755565  ,2,32,1
2000-11-04,01756159  ,2,64,1
2000-11-04,01774245  ,1,209,1
2000-11-04,01779554  ,1,55,1
2000-11-04,01779646  ,1,55,1
2000-11-04,01779929  ,1,129,1
2000-11-04,01780659  ,1,39,1
2000-11-04,01800074  ,1,12,1
2000-11-04,01802740  ,1,115,1
2000-11-04,01809305  ,1,62,1
2000-11-04,01832266  ,4,156,1
2000-11-04,01834468  ,1,179,1
2000-11-04,01838442  ,1,158,1
2000-11-04,01841787  ,1,109,1
2000-11-04,01853124  ,2,44,1
2000-11-04,01918113  ,1,49,1
2000-11-04,01927726  ,1,39,1
2000-11-04,01946345  ,1,28,1
2000-11-04,01946963  ,1,19,1
2000-11-04,01972177  ,1,59,1
2000-11-04,01973556  ,1,53,1
2000-11-04,01996173  ,1,39,1
2000-11-04,02000558  ,2,42,1
2000-11-04,02016719  ,11,3899,2
2000-11-04,02036922  ,1,109,1
2000-11-04,02072388  ,1,349,1
2000-11-04,02073491  ,1,95,1
2000-11-04,02077529  ,1,29,1
2000-11-04,02093215  ,11,9985,2
2000-11-04,02101637  ,2,116,1
2000-11-04,02123394  ,1,104,1
2000-11-04,02133881  ,1,18,1
2000-11-04,02155647  ,11,59145,2
2000-11-05,00040068  ,2,48,1
2000-11-05,00043472  ,1,77,1
2000-11-05,00070249  ,1,69,1
2000-11-05,00102292  ,1,75,1
2000-11-05,00119283  ,1,74,1
2000-11-05,00139847  ,1,459,1
2000-11-05,00148740  ,1,85,1
2000-11-05,00161053  ,1,52,1
2000-11-05,00208963  ,1,116,1
2000-11-05,00209236  ,1,33,1
2000-11-05,00238540  ,1,29,1
2000-11-05,00268653  ,1,36,1
2000-11-05,00312561  ,1,35,1
2000-11-05,00322775  ,1,189,1
2000-11-05,00340670  ,1,59,1
